"","","LG_NONWADEABLE","LG_WADEABLE","SM_NONWADEABLE","SM_WADEABLE","Sum"
"NO-<20 CW SAMPLED,<500 INDIV",0,4,1,0,0,5
"NO-<40 CW SAMPLED",0,1,0,0,12,13
"NO->20 CW SAMPLED, <500 INDIV",0,5,4,0,0,9
"NO->50% OF REACH,<25 INDIV",0,0,0,0,5,5
"NO-SITE CONDITIONS",79,183,39,20,120,441
"SEINING ONLY",0,0,2,0,6,8
"YES-<20 CW SAMPLED, >500 INDIV",0,3,1,0,0,4
"YES->20 CW SAMPLED,<500 INDIV",0,42,9,0,0,51
"YES->50% OF REACH,>=25 INDIV",0,0,0,0,2,2
"YES-50-90% OF REACH",0,0,0,1,49,50
"YES-SUFFICIENT",0,523,187,22,867,1599
"Sum",79,761,243,43,1061,2187
